"dates2","x"
1895-01-01,26.5970596268421
1896-01-01,28.7864161543959
1897-01-01,28.7436085017647
1898-01-01,28.6186368686946
1899-01-01,29.7197061974233
1900-01-01,33.3699103197714
1901-01-01,32.2018381554311
1902-01-01,29.7562325725405
1903-01-01,32.2512107188307
1904-01-01,28.69544107332
1905-01-01,31.4282961507482
1906-01-01,26.3618287844921
1907-01-01,28.5811229375404
1908-01-01,26.9698139190674
1909-01-01,29.9378631351501
1910-01-01,33.2096868499996
1911-01-01,27.423849035248
1912-01-01,28.0362080761767
1913-01-01,31.3566469988485
1914-01-01,26.3358546700065
1915-01-01,28.1700506000068
1916-01-01,27.4779497146606
1917-01-01,31.7927015980398
1918-01-01,29.4542331470279
1919-01-01,29.0378396732601
1920-01-01,28.8914466347281
1921-01-01,25.6982151677289
1922-01-01,32.8128562476691
1923-01-01,28.2437569956141
1924-01-01,31.0607415927677
1925-01-01,28.2361346627784
1926-01-01,30.3642601884256
1927-01-01,27.5364087968361
1928-01-01,28.9190635410819
1929-01-01,26.3528236539345
1930-01-01,27.6956327753743
1931-01-01,29.6328850122887
1932-01-01,28.6510532739594
1933-01-01,29.4097589597927
1934-01-01,33.5742652592697
1935-01-01,29.3404823002853
1936-01-01,30.1270996364083
1937-01-01,32.1709993948148
1938-01-01,30.4905382111317
1939-01-01,31.3945286638155
1940-01-01,30.9284808541846
1941-01-01,27.9439728804461
1942-01-01,30.4939202496386
1943-01-01,31.2608586408961
1944-01-01,30.8445396273155
1945-01-01,30.3810209049015
1946-01-01,28.6008317541888
1947-01-01,30.5032817269873
1948-01-01,30.2896357378622
1949-01-01,27.309811951044
1950-01-01,26.8653219973947
1951-01-01,30.8804844803697
1952-01-01,29.2063684628704
1953-01-01,29.8611965149406
1954-01-01,28.8816488055732
1955-01-01,26.7735096488412
1956-01-01,29.7628477081539
1957-01-01,27.127046096982
1958-01-01,32.3006182783232
1959-01-01,28.677457782415
1960-01-01,31.5360863873339
1961-01-01,28.612756419745
1962-01-01,31.3152944639912
1963-01-01,29.7367355076347
1964-01-01,30.5034403673307
1965-01-01,28.5447997566283
1966-01-01,29.922114196537
1967-01-01,27.602102240615
1968-01-01,25.8332011771014
1969-01-01,30.7927289166788
1970-01-01,29.9925927890567
1971-01-01,28.653277494776
1972-01-01,28.890167377502
1973-01-01,28.9449880344661
1974-01-01,27.9495520193746
1975-01-01,28.4562308213842
1976-01-01,27.674183735885
1977-01-01,28.6535475122647
1978-01-01,32.3084744821383
1979-01-01,30.2160047696331
1980-01-01,33.9874644632415
1981-01-01,28.0633754655132
1982-01-01,28.0579691729208
1983-01-01,29.2581484096257
1984-01-01,26.3265423211526
1985-01-01,31.2200090543492
1986-01-01,27.6627266230546
1987-01-01,28.8772338506744
1988-01-01,26.578118611133
1989-01-01,29.6722486691212
1990-01-01,26.0828238389623
1991-01-01,25.7063212252039
1992-01-01,27.9911721477358
1993-01-01,28.5385828063244
1994-01-01,33.8306990976409
1995-01-01,32.5492619221605
1996-01-01,28.902234352292
1997-01-01,29.257607339874
1998-01-01,28.3563676053145
1999-01-01,25.0505599014402
2000-01-01,32.9711665866882
2001-01-01,30.059334254828
2002-01-01,33.4050123710332
2003-01-01,36.4569115135613
2004-01-01,29.6443242891567
2005-01-01,33.5740663843831
2006-01-01,26.3201713111457
2007-01-01,32.1518086350809
2008-01-01,27.7520241865023
2009-01-01,34.0434777087114
2010-01-01,28.5411449522484
2011-01-01,34.2683701342485
2012-01-01,31.8780890697569
2013-01-01,27.6486927332841
2014-01-01,27.3155511000025
2015-01-01,28.6864205758403
2016-01-01,31.2592679301585
2017-01-01,29.660305864229
2018-01-01,33.7763266706091
2019-01-01,35.6545140243891
2020-01-01,38.0094128916583
