"","dates","lwr_ci","upper_ci","meanest"
"1",2003-01-01,-0.819654150755253,-0.0748425265157268,-0.874024486604317
"2",2004-01-01,-0.784685550894567,-0.0396064559937392,0.889451885772819
"3",2005-01-01,-0.833976919140612,-0.0943906363276354,0.233004669042308
"4",2006-01-01,-0.824221485958745,-0.0805196567539855,1.72823725403971
"5",2007-01-01,-0.881908911879016,-0.124243773086882,0.5453431775796
"6",2008-01-01,-0.850654380292833,-0.101343070878225,1.23461174054187
"7",2009-01-01,-0.921588555383702,-0.17419511466817,-0.282234448914566
"8",2010-01-01,-0.919309869842911,-0.167369097113417,1.39480202851146
"9",2011-01-01,-1.02560102394715,-0.256324477421557,-0.457085260575208
"10",2012-01-01,-1.02099489965318,-0.257269301987998,0.0433284217133907
"11",2013-01-01,-0.987636337221039,-0.224086679452713,1.21046697455958
"12",2014-01-01,-0.994099085245865,-0.232064941795582,1.5409713254858
"13",2015-01-01,-1.02426771273729,-0.257499719945609,1.99344087189994
"14",2016-01-01,-1.05407691372923,-0.282330626719914,0.726656487597829
"15",2017-01-01,-1.03364841512604,-0.270789824159706,1.27698065154906
"16",2018-01-01,-1.10596321174357,-0.320692786776235,-0.00165278312647651
"17",2019-01-01,-1.21080083908439,-0.408477319612534,0.0620283378929125
"18",2020-01-01,-1.26546289525252,-0.462409491700365,-0.789489013264885
